工资ID,员工ID,本月工时,本月时薪,本月销售额度,本月销售提成比例,本月销售提成额度,本月项目补助,本月住房补助,本月交通补助,本月通讯补助,本月伙食补助,本月高温补助,本月取暖补助,本月其他补助,本月单位养老保险金额,本月个人养老保险金额,本月单位医疗保险金额,本月个人医疗保险金额,本月单位失业保险金额,本月个人失业保险金额,本月单位工伤保险金额,本月单位生育保险金额,本月单位公积金金额,本月个人住房公积金金额,本月工资日期,本月工资金额,本月总投入金额,创建日期,备注
1,3,179.0,100,0,0.03,0,500,1500,500,500,1000,500,500,0,3580.0,1432.0,1611.0,358.0,358.0,179.0,179.0,1611.0,2148.0,2148.0,2025-08-09,17900.0,29356.0,2025-08-08 16:52:27,
2,4,182.0,150,122858.0,0.03,0.03,500,1500,500,500,1000,500,500,0,5460.0,2184.0,2457.0,546.0,546.0,273.0,273.0,2457.0,3276.0,3276.0,2025-08-04,30985.739999999998,48457.74,2025-08-10 22:59:34,
3,5,197.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,5910.0,2364.0,2660.0,591.0,591.0,296.0,296.0,2660.0,3546.0,3546.0,2025-08-10,29550.0,48464.0,2025-08-11 05:04:05,
4,6,136.0,150,0,0.03,0,500,1500,500,500,1000,500,500,0,4080.0,1632.0,1836.0,408.0,408.0,204.0,204.0,1836.0,2448.0,2448.0,2025-08-06,20400.0,33456.0,2025-08-05 09:24:56,
5,7,142.0,50,0,0.03,0,500,1500,500,500,1000,500,500,0,1420.0,568.0,639.0,142.0,142.0,71.0,71.0,639.0,852.0,852.0,2025-08-02,7100.0,11644.0,2025-08-01 08:47:37,
6,8,195.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-09,39000.0,58200.0,2025-08-08 04:53:58,
7,9,173.0,80,0,0.03,0,500,1500,500,500,1000,500,500,0,2768.0,1107.0,1246.0,277.0,277.0,138.0,138.0,1246.0,1661.0,1661.0,2025-08-06,13840.0,22698.0,2025-08-04 06:20:17,
8,12,162.0,100,166797.0,0.03,0.03,500,1500,500,500,1000,500,500,0,3240.0,1296.0,1458.0,324.0,324.0,162.0,162.0,1458.0,1944.0,1944.0,2025-08-11,21203.91,31571.91,2025-08-06 07:54:39,发布帮助也是所以发现.
9,13,176.0,200,0,0.03,0,500,1500,500,500,1000,500,500,0,6000.0,2400.0,2700.0,600.0,600.0,300.0,300.0,2700.0,3600.0,3600.0,2025-08-02,35200.0,54400.0,2025-08-04 23:21:49,朋友这种所有最后然后.
10,14,142.0,80,126639.0,0.03,0.03,500,1500,500,500,1000,500,500,0,2272.0,909.0,1022.0,227.0,227.0,114.0,114.0,1022.0,1363.0,1363.0,2025-08-02,15159.17,22429.17,2025-08-12 10:11:11,可以地址销售对于质量.
